10000,Mr,Mackenzie,J,Fleetwood,233,Dreaming Street,Roseville,NSW,2069,0298654743,0465375486,7253418356478253,2000-03-12,male
10001,Ms,Jane,P,Killingsworth,34,Southern Road,Yarramundi,NSW,2753,0234654345,0342134679,9365243640183640,1943-04-08,female
10002,Mr,Peter,D,Leons,21,Constitution Drive,West Hoxton,NSW,2171,0276539183,0125364927,1873652945578932,1962-07-08,male
10003,Mr,Phill,B,Greggan,42,Donn Lane,Killara,NSW,2071,0276548709,1234326789,6473645782345678,1971-08-31,male
10004,Dr,John,W,Ward,332,Tomorrow Road,Chatswood,NSW,2488,4847383848,4838382728,4738294848484838,1978-02-12,male
10005,Mrs,Mary,D,Brown,Lot23,Johnston Road,Warwick Farm,NSW,2170,0297465243,0417335224,9356273321176546,1972-03-05,female
10006,Mr,Terrence,D,Hill,43,Somerland Road,La Perouse,NSW,2987,0266645432,0365243561,6363525353535356,2005-10-04,male
10007,Master,Adrian,B,Tamerkand,44,The Hill Road,Macquarie Fields,NSW,2756,0276546783,4848473738,9863652527637332,2008-12-12,male
10008,Ms,Joan,D,Wothers,32,Slapping Street,Mount Lewis,NSW,2343,1294848777,8484737384,9484746125364765,1997-06-12,female
10009,Mrs,Caroline,J,Barrette,44,Biggramham Road,St Kilda,VIC,4332,0384736278,9383827373,1234565725463728,1965-04-04,female
10010,Mrs,Wendy,J,Pilington,182,Parramatta Road,Lidcombe,NSW,2345,4837383848,8473838383,8483727616273838,1985-09-17,female
